collection_date,country,taxon_kingdom,strain_manual,create_user_name,cultivation_conditions,taxon_phylum2,isolation_date,provide_format,sampling_date,physical_state,rdna16s_login_number,resource_owner,status_id,province,price,pathogenicity_target,taxon_class,show_pic,id,taxon_order,create_user_id,del_flag,sampling_number,create_time,transmission_route,taxon_genus,strain_code,update_user_name,cultivation_temperature,taxon_species2,catalog_id,share_way,func_gene_type,district,taxon_species,name_latin,taxon_kingdom2,genome_sequencing,sorter,save_method,purpose,city,file_upload,other_strain_code,taxon_class2,update_time,platform_resource_code,update_user_id,original_number,oxygen_requirement,views,source_history,isolated_by,medium_type,collection_location,catalog_name,characteristics,biohazard_level,country_origin,contact_person,status_name,show_flag,taxon_order2,taxon_genus2,taxon_family,name_chinese,isolation_substrate,type_strain,rdna16s_sequence,taxon_phylum,extra_attribute_obj,taxon_family2,host_name
2025-11-17,中国,细菌,,开发管理员,,Bacillota  Bacillota,2024-01-30,斜面培养物,,有实物,无,BMB实验室,3,四川省,,无,芽胞杆菌纲,,1991424912377053185,芽胞杆菌目,92388441907889727,0,川A035,1763627673000,无,芽胞杆菌属,MGSC 1011310,,28℃,Bacillus thuringiensis,1958833400558858242,公益性共享,,,苏云金芽胞杆菌,Bacillus thuringiensis,Bacteria  Bacteria,,1,负80℃冰箱冻结法,微生物农药,,,无,Bacilli  Bacilli,,,,20240130JZHT021,好氧,15,BMB分离,金志昊,LB培养基,四川（盐地 | 栽培植被）,植保微生物,,四级,中国,武汉市洪山区狮子山街道1号华中农业大学，教育部农业微生物资源库，邮编430070，电话：XXX，联系人：XXX，E-mail:,现货,1,Bacillales  Bacillales,Bacillus  Bacillus,芽胞杆菌科,苏云金芽胞杆菌,土壤,非模式菌株,无,厚壁菌门,,Bacillaceae  Bacillaceae,无
2025-11-17,中国,细菌,,开发管理员,,Bacillota  Bacillota,2024-01-30,斜面培养物,,有实物,无,BMB实验室,3,四川省,,无,芽胞杆菌纲,,1991424912410607618,芽胞杆菌目,92388441907889727,0,川A038,1763627673000,无,芽胞杆菌属,MGSC 1011314,,28℃,Bacillus thuringiensis,1958833400558858242,公益性共享,,,苏云金芽胞杆菌,Bacillus thuringiensis,Bacteria  Bacteria,,1,负80℃冰箱冻结法,微生物农药,,,无,Bacilli  Bacilli,,,,20240130JZHT025,好氧,7,BMB分离,金志昊,LB培养基,四川（林中空地 | 针阔混交林）,植保微生物,,四级,中国,武汉市洪山区狮子山街道1号华中农业大学，教育部农业微生物资源库，邮编430070，电话：XXX，联系人：XXX，E-mail:,现货,1,Bacillales  Bacillales,Bacillus  Bacillus,芽胞杆菌科,苏云金芽胞杆菌,土壤,非模式菌株,无,厚壁菌门,,Bacillaceae  Bacillaceae,无
2025-11-17,中国,细菌,,开发管理员,,Bacillota  Bacillota,2024-01-30,斜面培养物,,有实物,无,BMB实验室,3,四川省,,无,芽胞杆菌纲,,1991424912402219010,芽胞杆菌目,92388441907889727,0,川A038,1763627673000,无,芽胞杆菌属,MGSC 1011313,,28℃,Bacillus thuringiensis,1958833400558858242,公益性共享,,,苏云金芽胞杆菌,Bacillus thuringiensis,Bacteria  Bacteria,,1,负80℃冰箱冻结法,微生物农药,,,无,Bacilli  Bacilli,,,,20240130JZHT024,好氧,1,BMB分离,金志昊,LB培养基,四川（林中空地 | 针阔混交林）,植保微生物,,四级,中国,武汉市洪山区狮子山街道1号华中农业大学，教育部农业微生物资源库，邮编430070，电话：XXX，联系人：XXX，E-mail:,现货,1,Bacillales  Bacillales,Bacillus  Bacillus,芽胞杆菌科,苏云金芽胞杆菌,土壤,非模式菌株,无,厚壁菌门,,Bacillaceae  Bacillaceae,无
2025-11-17,中国,细菌,,开发管理员,,Bacillota  Bacillota,2024-01-30,斜面培养物,,有实物,无,BMB实验室,3,四川省,,无,芽胞杆菌纲,,1991424912393830402,芽胞杆菌目,92388441907889727,0,川A036,1763627673000,无,芽胞杆菌属,MGSC 1011312,,28℃,Bacillus thuringiensis,1958833400558858242,公益性共享,,,苏云金芽胞杆菌,Bacillus thuringiensis,Bacteria  Bacteria,,1,负80℃冰箱冻结法,微生物农药,,,无,Bacilli  Bacilli,,,,20240130JZHT023,好氧,3,BMB分离,金志昊,LB培养基,四川（林地 | 草丛）,植保微生物,,四级,中国,武汉市洪山区狮子山街道1号华中农业大学，教育部农业微生物资源库，邮编430070，电话：XXX，联系人：XXX，E-mail:,现货,1,Bacillales  Bacillales,Bacillus  Bacillus,芽胞杆菌科,苏云金芽胞杆菌,土壤,非模式菌株,无,厚壁菌门,,Bacillaceae  Bacillaceae,无
2025-11-17,中国,细菌,,开发管理员,,Bacillota  Bacillota,2024-01-30,斜面培养物,,有实物,无,BMB实验室,3,四川省,,无,芽胞杆菌纲,,1991424912385441793,芽胞杆菌目,92388441907889727,0,川A036,1763627673000,无,芽胞杆菌属,MGSC 1011311,,28℃,Bacillus thuringiensis,1958833400558858242,公益性共享,,,苏云金芽胞杆菌,Bacillus thuringiensis,Bacteria  Bacteria,,1,负80℃冰箱冻结法,微生物农药,,,无,Bacilli  Bacilli,,,,20240130JZHT022,好氧,0,BMB分离,金志昊,LB培养基,四川（林地 | 草丛）,植保微生物,,四级,中国,武汉市洪山区狮子山街道1号华中农业大学，教育部农业微生物资源库，邮编430070，电话：XXX，联系人：XXX，E-mail:,现货,1,Bacillales  Bacillales,Bacillus  Bacillus,芽胞杆菌科,苏云金芽胞杆菌,土壤,非模式菌株,无,厚壁菌门,,Bacillaceae  Bacillaceae,无
2025-11-17,中国,细菌,,开发管理员,,Bacillota  Bacillota,2024-01-15,斜面培养物,,有实物,无,BMB实验室,3,四川省,,无,芽胞杆菌纲,,1991424912360275969,芽胞杆菌目,92388441907889727,0,川A035,1763627673000,无,芽胞杆菌属,MGSC 1011308,,28℃,Bacillus thuringiensis,1958833400558858242,公益性共享,,,苏云金芽胞杆菌,Bacillus thuringiensis,Bacteria  Bacteria,,1,负80℃冰箱冻结法,微生物农药,,,无,Bacilli  Bacilli,,,,20240115JZHT019,好氧,0,BMB分离,金志昊,LB培养基,四川（盐地 | 栽培植被）,植保微生物,,四级,中国,武汉市洪山区狮子山街道1号华中农业大学，教育部农业微生物资源库，邮编430070，电话：XXX，联系人：XXX，E-mail:,现货,1,Bacillales  Bacillales,Bacillus  Bacillus,芽胞杆菌科,苏云金芽胞杆菌,土壤,非模式菌株,无,厚壁菌门,,Bacillaceae  Bacillaceae,无
2025-11-17,中国,细菌,,开发管理员,,Bacillota  Bacillota,2024-01-15,斜面培养物,,有实物,无,BMB实验室,3,四川省,,无,芽胞杆菌纲,,1991424912343498753,芽胞杆菌目,92388441907889727,0,川A034,1763627673000,无,芽胞杆菌属,MGSC 1011306,,28℃,Bacillus thuringiensis,1958833400558858242,公益性共享,,,苏云金芽胞杆菌,Bacillus thuringiensis,Bacteria  Bacteria,,1,负80℃冰箱冻结法,微生物农药,,,无,Bacilli  Bacilli,,,,20240115JZHT017,好氧,0,BMB分离,金志昊,LB培养基,四川（林中空地 | 草丛）,植保微生物,,四级,中国,武汉市洪山区狮子山街道1号华中农业大学，教育部农业微生物资源库，邮编430070，电话：XXX，联系人：XXX，E-mail:,现货,1,Bacillales  Bacillales,Bacillus  Bacillus,芽胞杆菌科,苏云金芽胞杆菌,土壤,非模式菌株,无,厚壁菌门,,Bacillaceae  Bacillaceae,无
2025-11-17,中国,细菌,,开发管理员,,Bacillota  Bacillota,2024-01-15,斜面培养物,,有实物,无,BMB实验室,3,四川省,,无,芽胞杆菌纲,,1991424912351887361,芽胞杆菌目,92388441907889727,0,川A035,1763627673000,无,芽胞杆菌属,MGSC 1011307,,28℃,Bacillus thuringiensis,1958833400558858242,公益性共享,,,苏云金芽胞杆菌,Bacillus thuringiensis,Bacteria  Bacteria,,1,负80℃冰箱冻结法,微生物农药,,,无,Bacilli  Bacilli,,,,20240115JZHT018,好氧,1,BMB分离,金志昊,LB培养基,四川（盐地 | 栽培植被）,植保微生物,,四级,中国,武汉市洪山区狮子山街道1号华中农业大学，教育部农业微生物资源库，邮编430070，电话：XXX，联系人：XXX，E-mail:,现货,1,Bacillales  Bacillales,Bacillus  Bacillus,芽胞杆菌科,苏云金芽胞杆菌,土壤,非模式菌株,无,厚壁菌门,,Bacillaceae  Bacillaceae,无
2025-11-17,中国,细菌,,开发管理员,,Bacillota  Bacillota,2024-01-30,斜面培养物,,有实物,无,BMB实验室,3,四川省,,无,芽胞杆菌纲,,1991424912418996226,芽胞杆菌目,92388441907889727,0,川A038,1763627673000,无,芽胞杆菌属,MGSC 1011315,,28℃,Bacillus thuringiensis,1958833400558858242,公益性共享,,,苏云金芽胞杆菌,Bacillus thuringiensis,Bacteria  Bacteria,,1,负80℃冰箱冻结法,微生物农药,,,无,Bacilli  Bacilli,,,,20240130JZHT026,好氧,0,BMB分离,金志昊,LB培养基,四川（林中空地 | 针阔混交林）,植保微生物,,四级,中国,武汉市洪山区狮子山街道1号华中农业大学，教育部农业微生物资源库，邮编430070，电话：XXX，联系人：XXX，E-mail:,现货,1,Bacillales  Bacillales,Bacillus  Bacillus,芽胞杆菌科,苏云金芽胞杆菌,土壤,非模式菌株,无,厚壁菌门,,Bacillaceae  Bacillaceae,无
2025-11-17,中国,细菌,,开发管理员,,Bacillota  Bacillota,2024-01-15,斜面培养物,,有实物,无,BMB实验室,3,四川省,,无,芽胞杆菌纲,,1991424912368664577,芽胞杆菌目,92388441907889727,0,川A035,1763627673000,无,芽胞杆菌属,MGSC 1011309,,28℃,Bacillus thuringiensis,1958833400558858242,公益性共享,,,苏云金芽胞杆菌,Bacillus thuringiensis,Bacteria  Bacteria,,1,负80℃冰箱冻结法,微生物农药,,,无,Bacilli  Bacilli,,,,20240115JZHT021,好氧,0,BMB分离,金志昊,LB培养基,四川（盐地 | 栽培植被）,植保微生物,,四级,中国,武汉市洪山区狮子山街道1号华中农业大学，教育部农业微生物资源库，邮编430070，电话：XXX，联系人：XXX，E-mail:,现货,1,Bacillales  Bacillales,Bacillus  Bacillus,芽胞杆菌科,苏云金芽胞杆菌,土壤,非模式菌株,无,厚壁菌门,,Bacillaceae  Bacillaceae,无
